"","datetime","doy","hour","Ta_shade","Ta_sun","Tg_avg","SOLR_wm2"
"c.12.5719409202817..14.9650598462103.",2021-09-10 02:00:00,253,2,19.0981114799831,19.3836885365865,13.768500383246,0
"c.11.8613045817473..13.4115731292172.",2021-09-10 03:00:00,253,3,16.779843192161,16.9535196449974,12.6364388554823,0
"c.11.8574424790393..13.2705329552099.",2021-09-10 04:00:00,253,4,16.871195136146,17.0314470975862,12.5639877171246,0
"c.11.9489476357362..12.9862904310772.",2021-09-10 05:00:00,253,5,16.901676409141,17.0218715858373,12.4676190334067,0
"c.12.5053470918215..13.2505697599097.",2021-09-10 06:00:00,253,6,17.2895655560739,17.3782768216802,12.8779584258656,1.08433669650342
"c.13.5978138569987..17.5574574440089.",2021-09-10 07:00:00,253,7,19.4053321004303,19.9286856251776,15.5776356505038,100.971046600908
"c.15.34489350417..26.9456508038423.",2021-09-10 08:00:00,253,8,22.8094783434923,24.4130456653798,21.1452721540062,308.354113863137
"c.16.3397550674448..36.2879837880646.",2021-09-10 09:00:00,253,9,25.7816703742953,28.2619276628562,26.3138694277547,513.077181612478
"c.16.7397573567196..46.8060911297271.",2021-09-10 10:00:00,253,10,25.4956647728518,28.7967441793308,31.7729242432233,694.206576968245
"c.16.9962243947139..54.1592219473054.",2021-09-10 11:00:00,253,11,26.2462244589825,30.1254690434144,35.5777231710096,828.723154349872
"c.17.4904902180666..60.1036396610865.",2021-09-10 12:00:00,253,12,26.8316995971907,31.5173554484162,38.7970649395765,895.294923124514
"c.17.4231716822369..62.1025179595864.",2021-09-10 13:00:00,253,13,27.6170440707542,32.5683032681871,39.7628448209116,882.885471499789
"c.17.2336344221053..58.8460254215252.",2021-09-10 14:00:00,253,14,28.0592336202231,32.6679342189277,38.0398299218152,759.995502141676
"c.16.3627768710255..53.8753991937709.",2021-09-10 15:00:00,253,15,27.6894908669918,31.7873405114907,35.1190880323982,639.606272036314
"c.15.5555069330692..45.8792181204166.",2021-09-10 16:00:00,253,16,27.6233834460529,30.8099087827048,30.7173625267429,437.023760412773
"c.15.3738904620988..43.5433907780991.",2021-09-10 17:00:00,253,17,27.0955699936859,30.1546990857674,29.4586406200989,234.243308308912
"c.15.6906393363274..28.7305714016153.",2021-09-10 18:00:00,253,18,25.9796268015086,27.5598636873914,22.2106053689713,45.7491173930434
"c.15.4118157877903..23.7986355970045.",2021-09-10 19:00:00,253,19,26.3287376964874,27.3325153652559,19.6052256923974,0
"c.14.9023403337025..20.7482833208161.",2021-09-10 20:00:00,253,20,23.0304185368911,23.728823508205,17.8253118272593,0
"c.14.6181016620496..19.5981332648037.",2021-09-10 21:00:00,253,21,22.231440590689,22.8547125062733,17.1081174634266,0
"c.14.4121800207125..19.0865236121479.",2021-09-10 22:00:00,253,22,22.844248515466,23.4148566183379,16.7493518164302,0
"c.14.0170145631904..18.6483587757008.",2021-09-10 23:00:00,253,23,22.6994379684659,23.2822397499611,16.3326866694456,0
"c.13.4467906964041..17.4336907160512.",2021-09-11 00:00:00,254,0,21.5710314931047,22.0698149545493,15.4402407062276,0
"c.13.0572909352344..16.5559367189963.",2021-09-11 01:00:00,254,1,20.9854513668941,21.4223559825943,14.8066138271154,0
"c.13.0596366007354..16.1371113055683.",2021-09-11 02:00:00,254,2,20.7437060386538,21.1339152009126,14.5983739531518,0
"c.12.0728061169632..14.2144067247241.",2021-09-11 03:00:00,254,3,17.1466826451377,17.3890691484087,13.1436064208436,0
"c.11.972822441182..14.1521491855396.",2021-09-11 04:00:00,254,4,17.8111047165582,18.0641721301879,13.0624858133608,0
"c.11.9689660398486..13.7280677954316.",2021-09-11 05:00:00,254,5,18.339012024643,18.563197133678,12.8485169176401,0
"c.12.310430624278..13.8365924071486.",2021-09-11 06:00:00,254,6,19.6233544878133,19.8389350345017,13.0735115157133,0.971123270722373
"c.13.3459499902828..17.7394690260568.",2021-09-11 07:00:00,254,7,19.6440489387115,20.2646628515014,15.5427095081698,100.651479071376
"c.14.8433999230385..27.6494689011383.",2021-09-11 08:00:00,254,8,22.9605106156245,24.7694534041371,21.2464344120884,308.553561740699
"c.16.2953728064808..39.6492891682902.",2021-09-11 09:00:00,254,9,25.9257238692489,29.2246205610026,27.9723309873855,514.344258765738
"c.16.7933086223954..52.4024019542831.",2021-09-11 10:00:00,254,10,24.9337068727826,29.9637291769222,34.5978552883392,696.507796196682
"c.17.4165426408588..62.2062424932266.",2021-09-11 11:00:00,254,11,26.0557883381692,32.2956794569998,39.8113925670427,832.75266224851
"c.17.5598096280497..65.8483034413741.",2021-09-11 12:00:00,254,12,26.4733012627138,32.6559906363484,41.7040565347119,900.389563413752
"c.17.404492677841..66.5524614962894.",2021-09-11 13:00:00,254,13,27.0598634646962,33.1829201538367,41.9784770870652,888.7343973388
"c.17.370067486062..65.0383424344039.",2021-09-11 14:00:00,254,14,27.4030996448984,33.39992001025,41.2042049602329,803.290485707169
"c.16.8072208576773..59.6926006990158.",2021-09-11 15:00:00,254,15,27.60625567408,32.8597838772326,38.2499107783465,645.291864593899
"c.15.9881998204011..51.532938436824.",2021-09-11 16:00:00,254,16,27.4568022548029,31.7924752805367,33.7605691286126,436.347805768779
"c.15.8598211137924..49.0775438123807.",2021-09-11 17:00:00,254,17,26.7478354624033,30.8563196142339,32.4686824630866,225.007760663248
"c.15.2576577405914..32.9617691405992.",2021-09-11 18:00:00,254,18,25.7172780185435,28.0674867841899,24.1097134405953,42.0185161952161
"c.14.4840736381802..27.6048176284096.",2021-09-11 19:00:00,254,19,26.0324462276809,27.7525329819782,21.0444456332949,0
"c.13.9268405196422..24.320300973947.",2021-09-11 20:00:00,254,20,23.8212879342857,25.1856811258024,19.1235707467946,0
"c.13.8084571714746..23.3143818224929.",2021-09-11 21:00:00,254,21,22.9965393790161,24.3345606369337,18.5614194969837,0
"c.13.2986314676092..21.392883146412.",2021-09-11 22:00:00,254,22,20.4248979297941,21.5028222387077,17.3457573070106,0
"c.12.5240615338944..20.0533774154402.",2021-09-11 23:00:00,254,23,19.5640810567198,20.5048326487641,16.2887194746673,0
"c.12.0375749978439..18.981780344896.",2021-09-12 00:00:00,255,0,18.8725013825426,19.7369752048485,15.5096776713699,0
"c.12.0243433121175..18.4366183159857.",2021-09-12 01:00:00,255,1,18.8831946841661,19.6881142559695,15.2304808140516,0
"c.11.744327044111..17.8284959369153.",2021-09-12 02:00:00,255,2,18.2900539128995,19.0649224766517,14.7864114905132,0
"c.11.5261106765691..17.0766021289212.",2021-09-12 03:00:00,255,3,17.5895461219669,18.272651274214,14.3013564027451,0
"c.11.927888459501..17.1552071043478.",2021-09-12 04:00:00,255,4,18.8991941537025,19.6244733357885,14.5415477819244,0
"c.11.9229396942979..16.2860968611086.",2021-09-12 05:00:00,255,5,19.1333870299879,19.7497121259676,14.1045182777032,0
"c.11.6865774642771..15.2577984222709.",2021-09-12 06:00:00,255,6,18.7327339408697,19.2363471670179,13.472187943274,0.845963351224114
"c.12.3567716779988..18.0083991754382.",2021-09-12 07:00:00,255,7,18.5892048790716,19.3722942367699,15.1825854267185,100.311203325026
"c.14.1714713920413..28.3509536462422.",2021-09-12 08:00:00,255,8,22.2955107855079,24.298457373758,21.2612125191418,309.102753096155
"c.15.7254911488784..40.8772602833398.",2021-09-12 09:00:00,255,9,25.6551515901177,29.2080069957795,28.3013757161091,518.340091866219
"c.15.8571001810863..50.8345311528221.",2021-09-12 10:00:00,255,10,24.4044832790618,28.9171148235853,33.3458156669542,701.277685221226
"c.16.0036167973015..58.5173518496327.",2021-09-12 11:00:00,255,11,25.0299081124098,30.2595094747753,37.2604843234671,837.760462843062
"c.16.4615446813751..62.8504827385555.",2021-09-12 12:00:00,255,12,25.8210361823897,31.3511139265893,39.6560137099653,904.409499937017
"c.16.5941830672977..63.6442580288526.",2021-09-12 13:00:00,255,13,27.2719023657059,32.7270122705657,40.1192205480751,893.825485443519
"c.16.6381788993193..61.8973412167888.",2021-09-12 14:00:00,255,14,27.8314412652722,33.1725459450085,39.2677600580541,803.862029743856
"c.16.8952925229541..56.760514600088.",2021-09-12 15:00:00,255,15,27.9659443579027,32.7401214582213,36.827903561521,648.220174073293
"c.16.798805828977..48.1317208791386.",2021-09-12 16:00:00,255,16,27.8972497050744,31.5958516829842,32.4652633540578,447.325934397804
"c.17.4506710848641..45.6934748829589.",2021-09-12 17:00:00,255,17,27.4388770119244,30.9116945884905,31.5720729839115,237.267422464632
"c.17.0041590850353..29.4226039550798.",2021-09-12 18:00:00,255,18,26.2301906086189,27.8740654364808,23.2133815200575,42.9034073905989
"c.15.6873468485987..22.2396104447723.",2021-09-12 19:00:00,255,19,24.483254579068,25.3277363469568,18.9634786466855,0
"c.14.836002518378..19.5278658279225.",2021-09-12 20:00:00,255,20,23.4075677533369,24.0405779590409,17.1819341731502,0
"c.14.3400855314976..18.5007660865973.",2021-09-12 21:00:00,255,21,23.206971716222,23.7428931648464,16.4204258090474,0
"c.13.7052221437056..17.131701451364.",2021-09-12 22:00:00,255,22,20.6354668326486,21.0661067414385,15.4184617975348,0
"c.13.2485388779989..16.4488753867469.",2021-09-12 23:00:00,255,23,20.1503916315107,20.5399863546686,14.8487071323729,0
"c.12.5748104542436..15.3653851796775.",2021-09-13 00:00:00,256,0,19.2457528002856,19.5858301526965,13.9700978169605,0
"c.12.4153097844615..14.9058984008924.",2021-09-13 01:00:00,256,1,19.3876673753509,19.7037635520648,13.660604092677,0
"c.12.3728263210543..14.5552400465892.",2021-09-13 02:00:00,256,2,19.1945133706789,19.4801039209729,13.4640331838218,0
"c.11.4806056156982..13.0990608965887.",2021-09-13 03:00:00,256,3,16.6484153091744,16.8530651666169,12.2898332561434,0
"c.11.3723248671863..12.8600929304749.",2021-09-13 04:00:00,256,4,17.5532209043934,17.7553162514535,12.1162088988306,0
"c.11.4198112198988..12.7161650935398.",2021-09-13 05:00:00,256,5,18.2300033250645,18.4077997225744,12.0679881567193,0
"c.11.253432612295..12.4850427252632.",2021-09-13 06:00:00,256,6,18.4496104426131,18.6170078391991,11.8692376687791,0.74060957425478
"c.12.0767013021612..16.9004000114045.",2021-09-13 07:00:00,256,7,18.8870702279094,19.5574847569048,14.4885506567829,98.8373728246893
"c.14.5189195819786..27.66643130711.",2021-09-13 08:00:00,256,8,22.0167595699209,23.873933427311,21.0926754445443,305.32218579364
"c.16.0671400969235..40.0929379442765.",2021-09-13 09:00:00,256,9,25.2608037884706,28.6546082282684,28.0800390206,510.712462239797
"c.16.8421420112915..52.4363226324432.",2021-09-13 10:00:00,256,10,24.3700715011715,29.3979872853017,34.6392323218673,691.781610853216
"c.17.792963513177..62.338335508961.",2021-09-13 11:00:00,256,11,25.4671310407224,31.7594624010477,40.065649511069,827.772342737194
"c.18.6748267901422..68.4520613296272.",2021-09-13 12:00:00,256,12,26.1498710983418,33.1812379921398,43.5634440598847,899.598026364275
